stock,preds
ADANIPOWER,0.125
CHAMBLFERT,0.123
IBREALEST,0.122
IDEA,0.122
JSWENERGY,0.121
CENTURYTEX,0.119
RPOWER,0.114
IRB,0.111
GODREJPROP,0.111
BHARTIARTL,0.111
NATIONALUM,0.11
HEROMOTOCO,0.11
CONCOR,0.11
NMDC,0.108
MGL,0.107
POWERGRID,0.106
BOSCHLTD,0.106
GAIL,0.106
WOCKPHARMA,0.105
CUMMINSIND,0.104
HINDPETRO,0.104
BAJAJ-AUTO,0.104
VOLTAS,0.104
TATAPOWER,0.103
BANKINDIA,0.103
STAR,0.103
SAIL,0.103
COALINDIA,0.101
NTPC,0.1
ALKEM,0.1
HINDCOPPER,0.1
UNIONBANK,0.099
IOB,0.099
ONGC,0.099
RCF,0.099
VEDL,0.098
LICHSGFIN,0.098
BEML,0.097
DLF,0.097
PNB,0.097
IPCALAB,0.097
PETRONET,0.097
TORNTPOWER,0.097
ABB,0.096
YESBANK,0.096
FORTIS,0.094
AMBUJACEM,0.094
BANKBARODA,0.094
TVSMOTOR,0.093
BPCL,0.093
SUNPHARMA,0.092
INDIGO,0.091
HFCL,0.091
RIIL,0.09
CANBK,0.089
INDHOTEL,0.089
TATACONSUM,0.088
NAUKRI,0.088
EXIDEIND,0.087
TATAMOTORS,0.087
SBIN,0.087
AARTIIND,0.087
LUPIN,0.087
NCC,0.086
INDIANB,0.086
MUTHOOTFIN,0.086
GODREJCP,0.085
IDBI,0.084
JINDALSTEL,0.084
HINDALCO,0.084
IOC,0.083
BHARATFORG,0.083
SIEMENS,0.083
VBL,0.083
LT,0.082
TATASTEEL,0.081
APOLLOHOSP,0.081
GRAPHITE,0.08
APOLLOTYRE,0.08
GMRINFRA,0.079
HAVELLS,0.079
EICHERMOT,0.079
GRASIM,0.079
JUSTDIAL,0.079
ZYDUSLIFE,0.079
PERSISTENT,0.078
MANAPPURAM,0.077
TRENT,0.077
GUJGASLTD,0.076
SHRIRAMFIN,0.076
PATANJALI,0.075
RELINFRA,0.073
ULTRACEMCO,0.072
AUROPHARMA,0.072
GNFC,0.072
UBL,0.072
BSOFT,0.072
DMART,0.071
MRF,0.071
ABFRL,0.071
AXISBANK,0.07
MOTHERSON,0.07
GLENMARK,0.07
ACC,0.067
MCDOWELL-N,0.066
RELIANCE,0.066
SUNTV,0.066
FSL,0.066
MARUTI,0.066
TCS,0.065
FEDERALBNK,0.065
CGPOWER,0.065
LALPATHLAB,0.065
LTTS,0.064
CIPLA,0.064
PRAJIND,0.063
BRITANNIA,0.063
BHEL,0.063
ASTRAL,0.062
BIOCON,0.061
TITAN,0.061
HSCL,0.06
BAJAJFINSV,0.059
CEATLTD,0.059
HEG,0.059
ADANIENT,0.058
UJJIVAN,0.058
DRREDDY,0.058
PIDILITIND,0.058
POONAWALLA,0.057
INDUSINDBK,0.056
RBLBANK,0.056
CHOLAFIN,0.056
ESCORTS,0.055
CANFINHOME,0.055
TATAELXSI,0.054
TECHM,0.053
CROMPTON,0.051
CUB,0.05
COFORGE,0.049
WIPRO,0.048
LAURUSLABS,0.046
LTIM,0.044
JSWSTEEL,0.044
KOTAKBANK,0.041
JUBLFOOD,0.04
DIVISLAB,0.039
IBULHSGFIN,0.039
MPHASIS,0.038
HINDUNILVR,0.034
TATACHEM,0.033
RAIN,0.032
BAJFINANCE,0.031
TV18BRDCST,0.03
DABUR,0.029
TATACOMM,0.027
SRF,0.027
IDFC,0.027
PIIND,0.025
MARICO,0.023
BALRAMCHIN,0.023
IGL,0.021
BERGEPAINT,0.02
BATAINDIA,0.02
ASIANPAINT,0.018
UPL,0.014
INDIACEM,0.014
APLAPOLLO,0.01
RENUKA,0.009
PEL,0.004
IDFCFIRSTB,0.0
ZEEL,-0.007
NAVINFLUOR,-0.01
DELTACORP,-0.013
